,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
497,274359638,74,9,28,20.0,6,25
498,274626321,75,6,28,35.0,6,26
499,274880593,76,8,28,8.0,6,11
500,274459613,77,6,28,3.0,6,8
501,268766630,75,12,28,30.0,6,9
502,274940183,75,14,28,50.0,6,10
503,274855603,73,21,28,18.0,6,34
504,230354160,76,8,28,15.0,6,12
505,235400269,73,3,28,25.0,6,40
506,271994562,78,29,28,11.0,6,26
507,273793299,73,12,28,20.0,6,24
508,270953734,73,12,28,20.0,6,24
509,236797525,79,8,28,20.0,6,9
510,274974561,79,8,28,14.0,6,11
511,274665527,77,49,28,25.0,6,10
512,274665514,76,24,28,8.0,6,13
513,228390860,76,25,28,12.0,6,37
514,274997813,77,31,28,15.0,6,11
515,274359516,74,9,28,20.0,6,26
516,274972540,79,8,28,15.0,6,7
517,274216380,77,30,28,18.0,6,19
518,274892722,76,17,28,10.0,6,8
519,274482549,73,27,28,20.0,6,10
520,274434084,77,31,28,12.0,6,15
521,274774551,79,10,28,14.0,6,23
522,274653913,80,5,28,18.0,6,18
523,274955317,81,26,28,10.0,6,11
524,274711423,73,12,28,20.0,6,28
525,274193008,77,43,28,15.0,6,15
526,272500201,74,6,28,50.0,6,9
527,272273200,82,56,28,20.0,6,19
528,271841552,77,45,28,15.0,6,11
529,190657984,79,15,28,16.0,6,12
530,272777849,79,10,28,15.0,6,6
531,274424175,82,54,28,15.0,6,8
532,274935321,78,7,28,4.0,6,9
533,274899337,79,10,28,15.0,6,4
534,274506007,81,20,28,22.0,6,10
535,274979771,76,7,28,10.0,6,8
536,274929511,76,9,28,11.0,6,12
537,273399927,82,40,28,10.0,6,9
538,274056385,76,23,28,10.0,6,8
539,273438703,83,13,28,5.0,6,12
540,273914186,77,27,28,13.0,6,11
541,274656258,79,14,28,14.0,6,5
542,273626405,75,18,28,50.0,6,11
543,273690672,79,12,28,15.0,6,8
544,274700180,75,6,28,50.0,6,35
545,274090481,73,9,28,35.0,6,22
546,273743581,77,33,28,13.0,6,17
547,274449384,78,6,28,5.0,6,13
